title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_pct_2025_actual,outlook_pct_ai,outlook_desc,employment_change,url
"Welfare, Recreation and Community Arts Workers",27-legal-social-and-welfare-professionals,welfare-recreation-and-community-arts-workers,2726,101920,,Diploma or Advanced Diploma,,,43000,,23,4,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Agricultural Technicians,31-engineering-ict-and-science-technicians,agricultural-technicians,3111,94016,,Diploma or Advanced Diploma,,,2700,,9,4,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Medical Technicians,31-engineering-ict-and-science-technicians,medical-technicians,3112,80028,,Diploma or Advanced Diploma,,,41500,,17,4,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Primary Products Inspectors,31-engineering-ict-and-science-technicians,primary-products-inspectors,3113,69160,,Certificate III or IV,,,4800,,5,2,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Science Technicians,31-engineering-ict-and-science-technicians,science-technicians,3114,93288,,Certificate III or IV,,,22800,,9,4,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Architectural, Building and Surveying Technicians",31-engineering-ict-and-science-technicians,architectural-building-and-surveying-technicians,3121,118560,,Diploma or Advanced Diploma,,,78900,,14,-1,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Civil Engineering Draftspersons and Technicians,31-engineering-ict-and-science-technicians,civil-engineering-draftspersons-and-technicians,3122,89960,,Diploma or Advanced Diploma,,,14100,,11,-1,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Electrical Engineering Draftspersons and Technicians,31-engineering-ict-and-science-technicians,electrical-engineering-draftspersons-and-technicians,3123,148408,,Diploma or Advanced Diploma,,,10200,,12,-2,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Electronic Engineering Draftspersons and Technicians,31-engineering-ict-and-science-technicians,electronic-engineering-draftspersons-and-technicians,3124,111384,,Diploma or Advanced Diploma,,,8600,,12,14,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Mechanical Engineering Draftspersons and Technicians,31-engineering-ict-and-science-technicians,mechanical-engineering-draftspersons-and-technicians,3125,134628,,Diploma or Advanced Diploma,,,5400,,13,-7,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Safety Inspectors,31-engineering-ict-and-science-technicians,safety-inspectors,3126,123864,,Diploma or Advanced Diploma,,,6600,,11,-3,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Building and Engineering Technicians,31-engineering-ict-and-science-technicians,other-building-and-engineering-technicians,3129,153608,,Diploma or Advanced Diploma,,,42100,,12,6,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
ICT Support Technicians,31-engineering-ict-and-science-technicians,ict-support-technicians,3131,87724,,Diploma or Advanced Diploma,,,74000,,17,1,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Telecommunications Technical Specialists,31-engineering-ict-and-science-technicians,telecommunications-technical-specialists,3132,118872,,Diploma or Advanced Diploma,,,3800,,14,0,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Automotive Electricians,32-automotive-and-engineering-trades-workers,automotive-electricians,3211,146016,,Diploma or Advanced Diploma,,,10300,,8,-2,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Motor Mechanics,32-automotive-and-engineering-trades-workers,motor-mechanics,3212,84344,,Certificate III or IV,,,109900,,8,1,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Metal Casting, Forging and Finishing Trades Workers",32-automotive-and-engineering-trades-workers,metal-casting-forging-and-finishing-trades-workers,3221,,,Certificate III or IV,,,2000,,5,-25,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Sheetmetal Trades Workers,32-automotive-and-engineering-trades-workers,sheetmetal-trades-workers,3222,,,Certificate III or IV,,,4000,,10,-18,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Structural Steel and Welding Trades Workers,32-automotive-and-engineering-trades-workers,structural-steel-and-welding-trades-workers,3223,87776,,Certificate III or IV,,,79200,,7,2,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Aircraft Maintenance Engineers,32-automotive-and-engineering-trades-workers,aircraft-maintenance-engineers,3231,102960,,Certificate III or IV,,,9900,,7,-5,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Metal Fitters and Machinists,32-automotive-and-engineering-trades-workers,metal-fitters-and-machinists,3232,135512,,Certificate III or IV,,,118000,,7,0,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Precision Metal Trades Workers,32-automotive-and-engineering-trades-workers,precision-metal-trades-workers,3233,79924,,Certificate III or IV,,,7600,,8,-1,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Toolmakers and Engineering Patternmakers,32-automotive-and-engineering-trades-workers,toolmakers-and-engineering-patternmakers,3234,,,Certificate III or IV,,,1800,,10,-11,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Panelbeaters,32-automotive-and-engineering-trades-workers,panelbeaters,3241,96096,,Certificate III or IV,,,11100,,0,1,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Vehicle Body Builders and Trimmers,32-automotive-and-engineering-trades-workers,vehicle-body-builders-and-trimmers,3242,100048,,Certificate III or IV,,,6700,,3,3,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Vehicle Painters,32-automotive-and-engineering-trades-workers,vehicle-painters,3243,97760,,Certificate III or IV,,,9100,,0,-3,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bricklayers and Stonemasons,33-construction-trades-workers,bricklayers-and-stonemasons,3311,120484,,Certificate III or IV,,,27500,,10,-1,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Carpenters and Joiners,33-construction-trades-workers,carpenters-and-joiners,3312,91520,,Certificate III or IV,,,149900,,11,2,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Floor Finishers,33-construction-trades-workers,floor-finishers,3321,,,Diploma or Advanced Diploma,,,11900,,8,8,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Painting Trades Workers,33-construction-trades-workers,painting-trades-workers,3322,71708,,Certificate III or IV,,,48300,,8,-7,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Glaziers,33-construction-trades-workers,glaziers,3331,,,Certificate III or IV,,,8400,,4,0,0,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Plasterers,33-construction-trades-workers,plasterers,3332,95732,,Certificate III or IV,,,30500,,6,1,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Roof Tilers,33-construction-trades-workers,roof-tilers,3333,,,Certificate III or IV,,,9700,,4,0,0,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Wall and Floor Tilers,33-construction-trades-workers,wall-and-floor-tilers,3334,,,Certificate III or IV,,,22400,,6,4,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Plumbers,33-construction-trades-workers,plumbers,3341,103480,,Certificate III or IV,,,108200,,10,5,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Electricians,34-electrotechnology-and-telecommunications-trades,electricians,3411,113932,,Certificate III or IV,,,195900,,12,4,4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Airconditioning and Refrigeration Mechanics,34-electrotechnology-and-telecommunications-trades,airconditioning-and-refrigeration-mechanics,3421,109200,,Certificate III or IV,,,29300,,7,-1,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Electrical Distribution Trades Workers,34-electrotechnology-and-telecommunications-trades,electrical-distribution-trades-workers,3422,142012,,Diploma or Advanced Diploma,,,11800,,5,5,1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Electronics Trades Workers,34-electrotechnology-and-telecommunications-trades,electronics-trades-workers,3423,97864,,Certificate III or IV,,,32600,,6,6,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Telecommunications Trades Workers,34-electrotechnology-and-telecommunications-trades,telecommunications-trades-workers,3424,107120,,Certificate III or IV,,,16300,,4,-9,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bakers and Pastrycooks,35-food-trades-workers,bakers-and-pastrycooks,3511,73684,,Certificate III or IV,,,34500,,8,3,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Butchers and Smallgoods Makers,35-food-trades-workers,butchers-and-smallgoods-makers,3512,80600,,Certificate III or IV,,,13400,,10,-3,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Chefs,35-food-trades-workers,chefs,3513,73996,,Certificate III or IV,,,133300,,12,5,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Cooks,35-food-trades-workers,cooks,3514,74464,,Certificate III or IV,,,32300,,13,-9,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Animal Attendants and Trainers,36-skilled-animal-and-horticultural-workers,animal-attendants-and-trainers,3611,66352,,Certificate III or IV,,,27800,,11,6,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Shearers,36-skilled-animal-and-horticultural-workers,shearers,3612,,,Certificate III or IV,,,2500,,8,4,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Veterinary Nurses,36-skilled-animal-and-horticultural-workers,veterinary-nurses,3613,86684,,Bachelor degree or higher,,,16900,,12,5,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Florists,36-skilled-animal-and-horticultural-workers,florists,3621,,,Certificate III or IV,,,5500,,5,-7,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Gardeners,36-skilled-animal-and-horticultural-workers,gardeners,3622,,,Certificate III or IV,,,88600,,9,2,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Greenkeepers,36-skilled-animal-and-horticultural-workers,greenkeepers,3623,76336,,Certificate III or IV,,,13600,,6,-1,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Nurserypersons,36-skilled-animal-and-horticultural-workers,nurserypersons,3624,,,Certificate III or IV,,,3400,,9,-6,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Hairdressers,39-other-technicians-and-trades-workers,hairdressers,3911,62868,,Diploma or Advanced Diploma,,,68300,,6,3,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Print Finishers and Screen Printers,39-other-technicians-and-trades-workers,print-finishers-and-screen-printers,3921,,,Certificate III or IV,,,3600,,5,6,-8,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Graphic Pre-press Trades Workers,39-other-technicians-and-trades-workers,graphic-pre-press-trades-workers,3922,,,Certificate III or IV,,,1300,,6,-31,-7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Printers,39-other-technicians-and-trades-workers,printers,3923,73216,,Certificate III or IV,,,10200,,5,-3,-9,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Canvas and Leather Goods Makers,39-other-technicians-and-trades-workers,canvas-and-leather-goods-makers,3931,,,Certificate III or IV,,,1200,,6,-17,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Clothing Trades Workers,39-other-technicians-and-trades-workers,clothing-trades-workers,3932,,,Certificate III or IV,,,7800,,10,0,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Upholsterers,39-other-technicians-and-trades-workers,upholsterers,3933,79404,,Certificate III or IV,,,1800,,6,-17,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Cabinetmakers,39-other-technicians-and-trades-workers,cabinetmakers,3941,72800,,Certificate III or IV,,,30200,,8,0,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Wood Machinists and Other Wood Trades Workers,39-other-technicians-and-trades-workers,wood-machinists-and-other-wood-trades-workers,3942,73060,,Certificate III or IV,,,2700,,6,-7,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Boat Builders and Shipwrights,39-other-technicians-and-trades-workers,boat-builders-and-shipwrights,3991,114244,,Certificate III or IV,,,3100,,4,-19,0,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Chemical, Gas, Petroleum and Power Generation Plant Operators",39-other-technicians-and-trades-workers,chemical-gas-petroleum-and-power-generation-plant-operators,3992,183664,,Certificate III or IV,,,8100,,9,-7,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Gallery, Library and Museum Technicians",39-other-technicians-and-trades-workers,gallery-library-and-museum-technicians,3993,77896,,Certificate III or IV,,,6800,,7,-3,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Jewellers,39-other-technicians-and-trades-workers,jewellers,3994,,,Certificate III or IV,,,4600,,14,2,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Performing Arts Technicians,39-other-technicians-and-trades-workers,performing-arts-technicians,3995,95888,,Certificate III or IV,,,15400,,8,-3,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Signwriters,39-other-technicians-and-trades-workers,signwriters,3996,,,Certificate III or IV,,,6400,,10,3,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Miscellaneous Technicians and Trades Workers,39-other-technicians-and-trades-workers,other-miscellaneous-technicians-and-trades-workers,3999,105872,,Certificate III or IV,,,23500,,14,1,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Ambulance Officers and Paramedics,41-health-and-welfare-support-workers,ambulance-officers-and-paramedics,4111,148304,,Diploma or Advanced Diploma,,,27000,,23,3,5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Dental Hygienists, Technicians and Therapists",41-health-and-welfare-support-workers,dental-hygienists-technicians-and-therapists,4112,114920,,Diploma or Advanced Diploma,,,7800,,21,-3,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Diversional Therapists,41-health-and-welfare-support-workers,diversional-therapists,4113,74568,,Diploma or Advanced Diploma,,,6300,,19,5,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Enrolled and Mothercraft Nurses,41-health-and-welfare-support-workers,enrolled-and-mothercraft-nurses,4114,92404,,Certificate III or IV,,,21100,,21,-3,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Indigenous Health Workers,41-health-and-welfare-support-workers,indigenous-health-workers,4115,75920,,Diploma or Advanced Diploma,,,1100,,20,0,4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Massage Therapists,41-health-and-welfare-support-workers,massage-therapists,4116,,,Diploma or Advanced Diploma,,,19800,,22,2,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Welfare Support Workers,41-health-and-welfare-support-workers,welfare-support-workers,4117,95888,,Diploma or Advanced Diploma,,,96000,,12,5,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Child Carers,42-carers-and-aides,child-carers,4211,69732,,Certificate III or IV,,,180800,,5,6,4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Education Aides,42-carers-and-aides,education-aides,4221,69784,,Diploma or Advanced Diploma,,,136700,,10,5,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Aged and Disabled Carers,42-carers-and-aides,aged-and-disabled-carers,4231,91572,,Certificate III or IV,,,369400,,18,7,7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Dental Assistants,42-carers-and-aides,dental-assistants,4232,62972,,Certificate III or IV,,,27100,,27,-6,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Nursing Support and Personal Care Workers,42-carers-and-aides,nursing-support-and-personal-care-workers,4233,83824,,Certificate III or IV,,,113200,,25,5,6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Special Care Workers,42-carers-and-aides,special-care-workers,4234,88816,,Certificate III or IV,,,3100,,14,-16,3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bar Attendants and Baristas,43-hospitality-workers,bar-attendants-and-baristas,4311,78000,,Diploma or Advanced Diploma,,,121600,,11,3,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Cafe Workers,43-hospitality-workers,cafe-workers,4312,69992,,Diploma or Advanced Diploma,,,39000,,11,5,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Gaming Workers,43-hospitality-workers,gaming-workers,4313,80028,,Certificate II or III,,,4500,,11,-13,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Hotel Service Managers,43-hospitality-workers,hotel-service-managers,4314,73320,,Certificate III or IV,,,9500,,13,0,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Waiters,43-hospitality-workers,waiters,4315,69992,,Certificate II or III,,,128200,,12,-1,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Hospitality Workers,43-hospitality-workers,other-hospitality-workers,4319,81848,,Certificate II or III,,,5500,,11,-7,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Defence Force Members - Other Ranks,44-protective-service-workers,defence-force-members-other-ranks,4411,,,Diploma or Advanced Diploma,,,17000,,9,,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Fire and Emergency Workers,44-protective-service-workers,fire-and-emergency-workers,4412,128596,,Diploma or Advanced Diploma,,,19800,,11,4,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Police,44-protective-service-workers,police,4413,133120,,Diploma or Advanced Diploma,,,74100,,11,4,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Prison Officers,44-protective-service-workers,prison-officers,4421,108160,,Certificate III or IV,,,18600,,10,-10,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Security Officers and Guards,44-protective-service-workers,security-officers-and-guards,4422,94536,,Certificate II or III,,,65700,,11,3,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Beauty Therapists,45-sports-and-personal-service-workers,beauty-therapists,4511,61256,,Certificate III or IV,,,40300,,11,4,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Driving Instructors,45-sports-and-personal-service-workers,driving-instructors,4512,115648,,Certificate III or IV,,,6100,,8,-3,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Funeral Workers,45-sports-and-personal-service-workers,funeral-workers,4513,,,Diploma or Advanced Diploma,,,4800,,10,4,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Gallery, Museum and Tour Guides",45-sports-and-personal-service-workers,gallery-museum-and-tour-guides,4514,74464,,Certificate III or IV,,,6300,,9,2,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Personal Care Consultants,45-sports-and-personal-service-workers,personal-care-consultants,4515,,,Diploma or Advanced Diploma,,,4400,,21,-2,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Tourism and Travel Advisers,45-sports-and-personal-service-workers,tourism-and-travel-advisers,4516,69160,,Certificate III or IV,,,21300,,9,6,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Travel Attendants,45-sports-and-personal-service-workers,travel-attendants,4517,78208,,Certificate II or III,,,10300,,13,0,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Personal Service Workers,45-sports-and-personal-service-workers,other-personal-service-workers,4518,,,Certificate II or III,,,24600,,11,9,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Fitness Instructors,45-sports-and-personal-service-workers,fitness-instructors,4521,78000,,Certificate II or III,,,37600,,13,2,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Outdoor Adventure Guides,45-sports-and-personal-service-workers,outdoor-adventure-guides,4522,67496,,Certificate III or IV,,,4700,,12,9,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Sports Coaches, Instructors and Officials",45-sports-and-personal-service-workers,sports-coaches-instructors-and-officials,4523,74984,,Certificate III or IV,,,68100,,12,10,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Sportspersons,45-sports-and-personal-service-workers,sportspersons,4524,,,Certificate I or no formal qualification,,,13500,,13,1,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Contract, Program and Project Administrators",51-office-managers-and-program-administrators,contract-program-and-project-administrators,5111,110760,,Diploma or Advanced Diploma,,,161300,,17,2,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Office Managers,51-office-managers-and-program-administrators,office-managers,5121,89960,,Diploma or Advanced Diploma,,,136400,,8,1,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Practice Managers,51-office-managers-and-program-administrators,practice-managers,5122,86060,,Diploma or Advanced Diploma,,,30200,,18,2,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Personal Assistants,52-personal-assistants-and-secretaries,personal-assistants,5211,95264,,Diploma or Advanced Diploma,,,49700,,-6,-1,-9,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Secretaries,52-personal-assistants-and-secretaries,secretaries,5212,84552,,Certificate III or IV,,,29200,,-6,-7,-10,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
General Clerks,53-general-clerical-workers,general-clerks,5311,74776,,Certificate III or IV,,,286600,,19,-1,-12,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Keyboard Operators,53-general-clerical-workers,keyboard-operators,5321,71292,,Certificate II or III,,,53100,,-3,5,-15,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Call or Contact Centre Workers,54-inquiry-clerks-and-receptionists,call-or-contact-centre-workers,5411,73528,,Certificate II or III,,,29400,,8,-3,-18,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Information Officers,54-inquiry-clerks-and-receptionists,information-officers,5412,76024,,Certificate II or III,,,85000,,8,2,-10,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Receptionists,54-inquiry-clerks-and-receptionists,receptionists,5421,63908,,Certificate III or IV,,,182600,,8,-1,-14,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Accounting Clerks,55-numerical-clerks,accounting-clerks,5511,74984,,Certificate III or IV,,,143500,,6,1,-11,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bookkeepers,55-numerical-clerks,bookkeepers,5512,72800,,Certificate II or III,,,90400,,6,-2,-13,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Payroll Clerks,55-numerical-clerks,payroll-clerks,5513,83512,,Certificate III or IV,,,49500,,6,1,-9,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bank Workers,55-numerical-clerks,bank-workers,5521,83720,,Certificate II or III,,,36400,,8,-9,-8,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
