title,category,anzsco_code,num_jobs_2024,median_pay_annual,outlook_pct,entry_education,url,outlook_pct_2025_actual,outlook_pct_ai
Electronics Trades Workers,34-electrotechnology-and-telecommunications-trades-,3423,32600,97864,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-1
Telecommunications Trades Workers,34-electrotechnology-and-telecommunications-trades-,3424,16300,107120,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-9,-2
Bakers and Pastrycooks,35-food-trades-workers,3511,34500,73684,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Butchers and Smallgoods Makers,35-food-trades-workers,3512,13400,80600,10,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-4
Chefs,35-food-trades-workers,3513,133300,73996,12,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,2
Cooks,35-food-trades-workers,3514,32300,74464,13,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-9,-2
Animal Attendants and Trainers,36-skilled-animal-and-horticultural-workers,3611,27800,66352,11,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,1
Shearers,36-skilled-animal-and-horticultural-workers,3612,2500,,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-5
Veterinary Nurses,36-skilled-animal-and-horticultural-workers,3613,16900,86684,12,Bachelor degree or higher,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,2
Florists,36-skilled-animal-and-horticultural-workers,3621,5500,,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-2
Gardeners,36-skilled-animal-and-horticultural-workers,3622,88600,,9,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,1
Greenkeepers,36-skilled-animal-and-horticultural-workers,3623,13600,76336,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,0
Nurserypersons,36-skilled-animal-and-horticultural-workers,3624,3400,,9,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-6,-1
Hairdressers,39-other-technicians-and-trades-workers,3911,68300,62868,6,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,2
Print Finishers and Screen Printers,39-other-technicians-and-trades-workers,3921,3600,,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-8
Graphic Pre-press Trades Workers,39-other-technicians-and-trades-workers,3922,1300,,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-31,-7
Printers,39-other-technicians-and-trades-workers,3923,10200,73216,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-9
Canvas and Leather Goods Makers,39-other-technicians-and-trades-workers,3931,1200,,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-17,-3
Clothing Trades Workers,39-other-technicians-and-trades-workers,3932,7800,,10,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-4
Upholsterers,39-other-technicians-and-trades-workers,3933,1800,79404,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-17,-2
Cabinetmakers,39-other-technicians-and-trades-workers,3941,30200,72800,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-1
Wood Machinists and Other Wood Trades Workers,39-other-technicians-and-trades-workers,3942,2700,73060,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-2
Boat Builders and Shipwrights,39-other-technicians-and-trades-workers,3991,3100,114244,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-19,0
"Chemical, Gas, Petroleum and Power Generation Plant Operators",39-other-technicians-and-trades-workers,3992,8100,183664,9,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-3
"Gallery, Library and Museum Technicians",39-other-technicians-and-trades-workers,3993,6800,77896,7,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,1
Jewellers,39-other-technicians-and-trades-workers,3994,4600,,14,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,0
Performing Arts Technicians,39-other-technicians-and-trades-workers,3995,15400,95888,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-1
Signwriters,39-other-technicians-and-trades-workers,3996,6400,,10,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-2
Other Miscellaneous Technicians and Trades Workers,39-other-technicians-and-trades-workers,3999,23500,105872,14,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-1
Ambulance Officers and Paramedics,41-health-and-welfare-support-workers,4111,27000,148304,23,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,5
"Dental Hygienists, Technicians and Therapists",41-health-and-welfare-support-workers,4112,7800,114920,21,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,2
Diversional Therapists,41-health-and-welfare-support-workers,4113,6300,74568,19,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,1
Enrolled and Mothercraft Nurses,41-health-and-welfare-support-workers,4114,21100,92404,21,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,3
Indigenous Health Workers,41-health-and-welfare-support-workers,4115,1100,75920,20,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,4
Massage Therapists,41-health-and-welfare-support-workers,4116,19800,,22,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,2
Welfare Support Workers,41-health-and-welfare-support-workers,4117,96000,95888,12,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,3
Child Carers,42-carers-and-aides,4211,180800,69732,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,4
Education Aides,42-carers-and-aides,4221,136700,69784,10,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,3
Aged and Disabled Carers,42-carers-and-aides,4231,369400,91572,18,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,7,7
Dental Assistants,42-carers-and-aides,4232,27100,62972,27,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-6,1
Nursing Support and Personal Care Workers,42-carers-and-aides,4233,113200,83824,25,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,6
Special Care Workers,42-carers-and-aides,4234,3100,88816,14,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-16,3
Bar Attendants and Baristas,43-hospitality-workers,4311,121600,78000,11,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Cafe Workers,43-hospitality-workers,4312,39000,69992,11,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-4
Gaming Workers,43-hospitality-workers,4313,4500,80028,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-13,-6
Hotel Service Managers,43-hospitality-workers,4314,9500,73320,13,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-2
Waiters,43-hospitality-workers,4315,128200,69992,12,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-3
Other Hospitality Workers,43-hospitality-workers,4319,5500,81848,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-2
Defence Force Members - Other Ranks,44-protective-service-workers,4411,17000,,9,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,,-1
Fire and Emergency Workers,44-protective-service-workers,4412,19800,128596,11,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,2
Police,44-protective-service-workers,4413,74100,133120,11,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,1
Prison Officers,44-protective-service-workers,4421,18600,108160,10,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-10,0
Security Officers and Guards,44-protective-service-workers,4422,65700,94536,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-4
Beauty Therapists,45-sports-and-personal-service-workers,4511,40300,61256,11,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,1
Driving Instructors,45-sports-and-personal-service-workers,4512,6100,115648,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-2
Funeral Workers,45-sports-and-personal-service-workers,4513,4800,,10,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,0
"Gallery, Museum and Tour Guides",45-sports-and-personal-service-workers,4514,6300,74464,9,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,1
Personal Care Consultants,45-sports-and-personal-service-workers,4515,4400,,21,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,2
Tourism and Travel Advisers,45-sports-and-personal-service-workers,4516,21300,69160,9,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-3
Travel Attendants,45-sports-and-personal-service-workers,4517,10300,78208,13,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-5
Other Personal Service Workers,45-sports-and-personal-service-workers,4518,24600,,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,9,-1
Fitness Instructors,45-sports-and-personal-service-workers,4521,37600,78000,13,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,2
Outdoor Adventure Guides,45-sports-and-personal-service-workers,4522,4700,67496,12,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,9,0
"Sports Coaches, Instructors and Officials",45-sports-and-personal-service-workers,4523,68100,74984,12,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,10,1
Sportspersons,45-sports-and-personal-service-workers,4524,13500,,13,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,0
"Contract, Program and Project Administrators",51-office-managers-and-program-administrators,5111,161300,110760,17,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-4
Office Managers,51-office-managers-and-program-administrators,5121,136400,89960,8,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-6
Practice Managers,51-office-managers-and-program-administrators,5122,30200,86060,18,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-3
Personal Assistants,52-personal-assistants-and-secretaries,5211,49700,95264,-6,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-9
Secretaries,52-personal-assistants-and-secretaries,5212,29200,84552,-6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-10
General Clerks,53-general-clerical-workers,5311,286600,74776,19,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-12
Keyboard Operators,53-general-clerical-workers,5321,53100,71292,-3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-15
Call or Contact Centre Workers,54-inquiry-clerks-and-receptionists,5411,29400,73528,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-18
Information Officers,54-inquiry-clerks-and-receptionists,5412,85000,76024,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-10
Receptionists,54-inquiry-clerks-and-receptionists,5421,182600,63908,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-14
Accounting Clerks,55-numerical-clerks,5511,143500,74984,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-11
Bookkeepers,55-numerical-clerks,5512,90400,72800,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,-13
Payroll Clerks,55-numerical-clerks,5513,49500,83512,6,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-9
Bank Workers,55-numerical-clerks,5521,36400,83720,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-9,-8
Credit and Loans Officers (Aus) \ Finance Clerks (NZ),55-numerical-clerks,5522,38200,93912,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-7
"Insurance, Money Market and Statistical Clerks",55-numerical-clerks,5523,40500,78052,8,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-6
Betting Clerks,56-clerical-and-office-support-workers,5611,1600,,-2,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-6,-5
Couriers and Postal Deliverers,56-clerical-and-office-support-workers,5612,44200,78156,-1,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-4
Filing and Registry Clerks,56-clerical-and-office-support-workers,5613,18500,83304,0,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-12
Mail Sorters,56-clerical-and-office-support-workers,5614,12600,,-2,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-6,-9
Survey Interviewers,56-clerical-and-office-support-workers,5615,700,,-2,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-100,-8
Switchboard Operators,56-clerical-and-office-support-workers,5616,2600,,2,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-16
Other Clerical and Office Support Workers,56-clerical-and-office-support-workers,5619,5900,74516,-2,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-10
Purchasing and Supply Logistics Clerks,59-other-clerical-and-administrative-workers,5911,126900,80756,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-3
Transport and Despatch Clerks,59-other-clerical-and-administrative-workers,5912,45900,88764,11,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-2
Conveyancers and Legal Executives,59-other-clerical-and-administrative-workers,5991,16000,81900,9,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-6,0
Court and Legal Clerks,59-other-clerical-and-administrative-workers,5992,21100,69940,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-1
Debt Collectors,59-other-clerical-and-administrative-workers,5993,6900,78988,8,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,10,-4
Human Resource Clerks,59-other-clerical-and-administrative-workers,5994,23200,76752,10,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-5
Inspectors and Regulatory Officers,59-other-clerical-and-administrative-workers,5995,45200,96824,7,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,1
"Insurance Investigators, Loss Adjusters and Risk Surveyors",59-other-clerical-and-administrative-workers,5996,8600,103740,8,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,8,-2
Library Assistants,59-other-clerical-and-administrative-workers,5997,7100,92508,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-7
Other Miscellaneous Clerical and Administrative Workers,59-other-clerical-and-administrative-workers,5999,22200,82680,11,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-6
"Auctioneers, and Stock and Station Agents",61-sales-representatives-and-agents,6111,2900,,5,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-10,-5
Insurance Agents,61-sales-representatives-and-agents,6112,16500,81068,3,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-6
Sales Representatives,61-sales-representatives-and-agents,6113,70800,87984,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-4
Real Estate Sales Agents,61-sales-representatives-and-agents,6121,108500,78208,14,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Sales Assistants (General),62-sales-assistants-and-salespersons,6211,559800,64532,7,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-7
ICT Sales Assistants,62-sales-assistants-and-salespersons,6212,14900,61256,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-2
Motor Vehicle and Vehicle Parts Salespersons,62-sales-assistants-and-salespersons,6213,40100,68432,7,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-1
Pharmacy Sales Assistants,62-sales-assistants-and-salespersons,6214,42100,57824,7,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,1
Retail Supervisors,62-sales-assistants-and-salespersons,6215,46900,65884,7,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Service Station Attendants,62-sales-assistants-and-salespersons,6216,14000,64116,7,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-4
Street Vendors and Related Salespersons,62-sales-assistants-and-salespersons,6217,4600,,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-11,-8
Other Sales Assistants and Salespersons,62-sales-assistants-and-salespersons,6219,12000,68536,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-15,-6
Checkout Operators and Office Cashiers,63-sales-support-workers,6311,121200,56004,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-4,-11
Models and Sales Demonstrators,63-sales-support-workers,6391,10800,,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-3
Retail and Wool Buyers,63-sales-support-workers,6392,7900,79820,4,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-2
Telemarketers,63-sales-support-workers,6393,5000,,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-14
Ticket Salespersons,63-sales-support-workers,6394,19100,66352,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-5
Visual Merchandisers,63-sales-support-workers,6395,7700,62400,4,Diploma or Advanced Diploma,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-1
Other Sales Support Workers,63-sales-support-workers,6399,6500,70876,4,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-4
"Clay, Concrete, Glass and Stone Processing Machine Operators",71-machine-and-stationary-plant-operators,7111,2900,89232,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-7
Industrial Spraypainters,71-machine-and-stationary-plant-operators,7112,5900,,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,-6
Paper and Wood Processing Machine Operators,71-machine-and-stationary-plant-operators,7113,5600,75452,1,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-8
Photographic Developers and Printers,71-machine-and-stationary-plant-operators,7114,1500,73112,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,7,-12
Plastics and Rubber Production Machine Operators,71-machine-and-stationary-plant-operators,7115,7400,88816,5,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-9
Sewing Machinists,71-machine-and-stationary-plant-operators,7116,6100,55484,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-7,-10
Textile and Footwear Production Machine Operators,71-machine-and-stationary-plant-operators,7117,1800,63700,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-11
Other Machine Operators,71-machine-and-stationary-plant-operators,7119,13800,80808,9,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-8
"Crane, Hoist and Lift Operators",71-machine-and-stationary-plant-operators,7121,18400,177372,8,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,9,-3
"Drillers, Miners and Shot Firers",71-machine-and-stationary-plant-operators,7122,66400,151216,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-4
Engineering Production Workers,71-machine-and-stationary-plant-operators,7123,20500,86112,12,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-5
Other Stationary Plant Operators,71-machine-and-stationary-plant-operators,7129,24500,104988,7,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-6
"Agricultural, Forestry and Horticultural Plant Operators",72-mobile-plant-operators,7211,15900,72956,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-2
Earthmoving Plant Operators,72-mobile-plant-operators,7212,50000,98800,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-1
Forklift Drivers,72-mobile-plant-operators,7213,69000,69680,3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-3
Other Mobile Plant Operators,72-mobile-plant-operators,7219,13400,88192,4,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-4
Automobile Drivers,73-road-and-rail-drivers,7311,50500,,9,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,1
Bus and Coach Drivers,73-road-and-rail-drivers,7312,40300,93340,9,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,0
Train and Tram Drivers,73-road-and-rail-drivers,7313,18700,156052,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,9,2
Delivery Drivers,73-road-and-rail-drivers,7321,84900,68016,21,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-2
Truck Drivers,73-road-and-rail-drivers,7331,183600,101920,4,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-1
Storepersons,74-storepersons,7411,164200,69056,13,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-5
Car Detailers,81-cleaners-and-laundry-workers,8111,17100,64480,2,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-4,-3
Commercial Cleaners,81-cleaners-and-laundry-workers,8112,150200,65208,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-2
Domestic Cleaners,81-cleaners-and-laundry-workers,8113,35300,67704,5,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-1
Housekeepers,81-cleaners-and-laundry-workers,8114,34800,63960,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-4
